"id","name"
"126","Kinesis"
"127","Kink"
"128","Klein"
"367","Knaap"
"129","Knolly Cycles"
"306","Koga"
"130","Kona"
"284","kreidler "
"131","Kross"
"375","Kruz"
"132","Kryptonite"
"133","KTM"
"134","Kudos"
"346","Kugoo"
"315","Kuma Bikes"
"135","Kuota"
"136","Land Rover"
"137","Lapierre"
"138","LAS"
"309","Lauf"
"268","Lazer"
"139","Leader"
"140","Leaderfox"
"335","Legend e-Bikes"
"377","Liv"
"141","Look"
"350","Lovelec"
"265","Madison"
"364","Mafia"
"142","Marin"
"143","Massi"
"368","Mate"
"144","Mavic"
"145","Merida"
"146","Mezzo"
"147","Miche"
"148","Mission"
"149","Mobiky"
"150","Moda"
"151","Monark Eco"
"152","Mondraker"
"153","Mongoose"
"326","Moustache"
"385","MS Energy"
"154","Nalini"
"155","New Looxs"
"156","Niner"
"157","Norco"
"158","Northwave"
"159","NOX"
"160","NS Bikes"
"161","Nukeproof"
"162","Nutcase"
"163","Oakley"
"164","Olmo"
"165","Onza"
"166","Optima"
"167","Orbea"
"168","Orbita"
"378","Orro"
"286","Ossby"
"264","Other Brand"
"287","Oxford"
"269","Park Tool"
"169","Parlee"
"170","Pashley"
"266","Pearl Izumi"
"324","Pedego"
"381","Pelago"
"291","Pells"
"316","Pelo"
"359","Pendleton"
"171","Peugeot"
"380","Pfautec"
"172","Phat"
"173","Pinarello"
"174","Piranha"
"175","Pivot"
"176","Planet"
"177","Planet X"
"178","Polar"
"179","Powabyke"
"180","Powercycle"
"181","Premium BMX"
"182","Principia"
"270","Pro"
"331","Pro Bike"
"183","Professional"
"184","Project 346"
"185","Promovec"
"186","Pyga Industries"
"332","Python"
"187","Quintana Roo"
"275","Qwic E-Bikes"
"383","Radon"
"188","Ragley"
"189","Raleigh"
"312","Raleigh Electric bike"
"190","Redline"
"191","Redy"
"307","Reeb"
"297","Reid"
"192","Reverse Components"
"193","Ridgeback"
"194","Ridley"
"328","Riese & Müller"
"195","Ritchey"
"196","Ritte"
"366","RKS"
"296","Rocker BMX"
"308","Rocky mountain"
"362","Romet"
"197","S-Crash"
"198","Sabbath"
"199","Salcano"
"371","Samebike"
"200","Santa Cruz"
"201","Santini"
"202","Sapim Spokes"
"203","Saracen"
"204","Sawaka Furuno"
"382","Schindelhauer"
"205","Schwalbe"
"206","Scorpion"
"207","Scott"
"208","SE Bikes"
"209","Secura"
"210","Sensa"
"370","Shengmilo"
"211","Shimano"
"212","Shogun"
"213","SIS"
"214","SKS"
"215","Solid"
"317","Sona Bikes"
"321","Sparta Bikes"
"216","Specialized"
"217","Spiuk"
"322","Sprint"
"218","Sram"
"219","Stanton"
"318","State Bicycle Co"
"220","Stella Azzurra"
"221","Stevens"
"222","Storck"
"330","Stromer"
"223","Sunday"
"224","Sunn"
"225","Surly"
"226","Swiss Bike"
"227","Swobo"
"228","Synergy"
"229","Tacx"
"294","Tern"
"260","Test Brand"
"230","This Old Bike"
"303","Thompson"
"337","Thousand"
"271","Thule"
"231","Tifosi"
"232","Time"
"233","Titan"
"298","Tokyobike"
"234","Torpado"
"235","Transition"
"236","Trek"
"351","Trybeco"
"237","Tune"
"238","UMF"
"239","Union"
"240","United"
"241","Unovelo"
"323","Urban Arrow"
"387","Urtopia"
"333","Van Nicholas"
"242","Vanmoof"
"243","Vario"
"338","Vaude"
"285","Veli"
"244","Viking"
"245","Viner"
"360","Vitesse"
"246","Vogue"
"386","Voltaway"
"247","Volume"
"361","Voodoo"
"248","Wayel"
"249","We The People"
"250","Whistle"
"319","Whyte"
"251","Wilier"
"325","Winora"
"252","Wisper Bikes"
"253","WorkCycles"
"254","WR"
"310","Wren"
"255","X-Cross"
"256","Yeti and Co."
"300","Yuba"
"257","Zefal"
"258","Zipp"
"259","Zoot"
